DEV_KEY,en,EN-UK,DE,PL,PT(BR),ES(MX),ES-ES,ID,SE,RU,FR,IT
,☔️ Stay dry! Rain starts at %@. See what’s coming. ,☔️ Stay dry! Rain starts at %@. See what’s coming. ,"☔️ Trocken bleiben! Der Regen beginnt um %@. Sehen Sie, was bevorsteht.",☔️ Nie zmoknij! O %@ będzie padać deszcz. Zobacz więcej.,☔️ Fique seco! A chuva começa em %@. Veja o que está por vir.,☔️ ¡Manténgase seco! La lluvia empieza en %@. Vea lo que viene.  ,☔️ ¡Mantener seco! La lluvia comienza en %@. Observa lo que viene.,☔️ Jangan sampai basah! Hujan dimulai pada %@. Lihat yang akan datang.,☔️ Håll dig torr! Det börjar regna %@. Se vad som är på väg.,☔️ Не промокните! Дождь начнется в %@. Узнайте больше о погоде. ,☔️ Restez au sec ! La pluie commence à %@. Découvrez la prévision.,
,💦☂️Get ready! Rain starts at %@ and ends at %@.,💦☂️Get ready! Rain starts at %@ and ends at %@.,💦☂️Bereiten Sie sich vor! Der Regen beginnt um %@ und endet um %@.,💦☂️Przygotuj się! Od %@ do %@ będzie padać deszcz.,💦☂️Prepare-se! A chuva começa às %@ e termina às %@.,💦☂️¡Preparados! La lluvia empieza en %@ y termina en %@.,💦☂️¡Prepárense! La lluvia comienza a las %@ y termina a las %@.,💦☂️Bersiaplah! Hujan dimulai pada %@ dan berakhir pada %@.,💦☂️Förbered dig! Det börjar regna %@ och slutar %@.,💦☂️Приготовьтесь! Дождь начнется в %@ и закончится в %@.,💦☂️Préparez-vous ! La pluie commence à %@ et cesse à %@.,
stay_ahead_of_weather,Stay ahead of the weather,Stay ahead of the weather,Bleiben Sie dem Wetter voraus,Bądź na bieżąco z pogodą,Fique à frente do clima ,Mantente a la vanguardia del tiempo,Adelántate al tiempo,,,,Gardez une longueur d'avance sur la météo,
temperature_whats_new_subtitle,"Get all the information you need on temperature and precipitation, all in one place.","Get all the information you need on temperature and precipitation, all in one place.","Erhalten Sie alle nötigen Informationen zu Temperatur und Niederschlag, alles an einem Ort.",Uzyskaj wszystkie potrzebne informacje o temperaturze i opadach w jednym miejscu.,"Obtenha todas as informações necessárias sobre a temperatura e precipitações, tudo em um só lugar.",Infórmate sobre las precipitaciones y la temperatura en un solo lugar.,"Consulta toda la información que necesites sobre temperatura y precipitaciones, todo en un mismo lugar.",,,Получайте всю необходимую информацию о температуре и осадках в одном месте.,"Recevez toutes les informations nécessaires concernant la température et les précipitations, en un seul endroit.",
stay_dry,Stay Dry,Stay Dry,Bleiben Sie trocken,Nie zmoknij,Fique seco,Manténgase seco,Permanece seco,Jangan Sampai Basah,Håll dig torr,Не промокните,Restez au sec,
stay_informed_subtitle,Get notifications when rain or snow is starting.,Get notifications when rain or snow is starting.,"Erhalten Sie Benachrichtigungen, wenn es zu regnen oder zu schneien beginnt.","Otrzymuj powiadomienia, gdy zacznie padać deszcz lub śnieg.",Receba notificações de quando vai começar a chover ou nevar.,Reciba notificaciones cuando empiece a llover o nevar.,Recibe notificaciones cuando empiece a llover o nevar.,Dapatkan notifikasi saat hujan atau salju dimulai.,Få meddelanden när det börjar regna eller snöa.,Получайте уведомления о начале дождя или снега.,Recevez des notifications lorsqu'il commence à pleuvoir ou à neiger.,
turn_on_notifications,Turn on notifications,Turn on notifications,Benachrichtigungen aktivieren,Włącz powiadomienia,Ativar notificações,Activar las notificaciones,Activa las notificaciones,Nyalakan notifikasi,Aktivera aviseringar,Включить уведомления,Activer les notifications,
locations_matter,Your location matters,Your location matters,Ihr Standort wird benötigt,Twoja lokalizacja jest ważna,Sua localização importa,Tu ubicación es importante,Tu ubicación importa,Lokasi Anda penting,Din plats är viktig,Ваша геопозиция имеет значение,Votre emplacement est important,
relevant_alerts,"To get relevant weather alerts according to your location, change your Location Settings to “Always”.",To get relevant weather notifications select “Always” in System Settings.,"Um relevante Wetterbenachrichtigungen zu erhalten, wählen Sie „Immer“ in den Systemeinstellungen aus. ","Aby otrzymywać odpowiednie powiadomienia o pogodzie wybierz ""Zawsze"" w Ustawieniach Systemowych.","Para receber notificações meteorológicas relevantes, selecione “Sempre” nas Configurações do Sistema.","Para recibir notificaciones meteorológicas relevantes seleccionar ""Siempre"" en Ajustes del Sistema. ","Para recibir notificaciones meteorológicas relevantes, selecciona «Siempre» en los ajustes del sistema. ","Untuk menerima sinyal cuaca sesuai lokasi Anda, ubah Pengaturan Lokasi Anda menjadi ""Selalu"".","För att få relevanta vädervarningar baserat på din plats, ändra dina Platsinställningar till ""Alltid"".","Чтобы получать актуальные уведомления о погоде в вашем районе, измените настройки местоположения на ""Всегда"".","Pour recevoir des alertes météo pertinentes basées sur votre emplacement, définissez vos paramètres de localisation sur « Toujours ».",
feed_always_allow_location_banner_primary,Your location matters,Your location matters,Ihr Standort wird benötigt,Twoja lokalizacja jest ważna,Sua localização importa,Tu ubicación es importante,Tu ubicación importa,Lokasi Anda penting,Din plats är viktig,Ваша геопозиция имеет значение,Votre emplacement est important,
feed_always_allow_location_banner_secondary,"To get relevant weather alerts according to your location, change your Location Settings to “Always”.",To get relevant weather notifications select “Always” in System Settings.,"Um relevante Wetterbenachrichtigungen zu erhalten, wählen Sie „Immer“ in den Systemeinstellungen aus. ","Aby otrzymywać odpowiednie powiadomienia o pogodzie wybierz ""Zawsze"" w Ustawieniach Systemowych.","Para receber notificações meteorológicas relevantes, selecione “Sempre” nas Configurações do Sistema.","Para recibir notificaciones meteorológicas relevantes seleccionar ""Siempre"" en Ajustes del Sistema. ","Para recibir notificaciones meteorológicas relevantes, selecciona «Siempre» en los ajustes del sistema. ","Untuk menerima sinyal cuaca sesuai lokasi Anda, ubah Pengaturan Lokasi Anda menjadi ""Selalu"".","För att få relevanta vädervarningar baserat på din plats, ändra dina Platsinställningar till ""Alltid"".","Чтобы получать актуальные уведомления о погоде в вашем районе, измените настройки местоположения на ""Всегда"".","Pour recevoir des alertes météo pertinentes basées sur votre emplacement, définissez vos paramètres de localisation sur « Toujours ».",
feed_always_allow_location_banner_button_title,Go to settings,Go to settings,Zu den Einstellungen,Przejdź do ustawień,Ir para configurações,Ir a ajustes,Ir a ajustes,Ke pengaturan,Gå till inställningar,Перейти к настройкам,Aller aux paramètres,
today_temperature,Today temperature,Today temperature,Temperatur heute,Dzisiejsza temperatura,Temperatura de hoje,Temperatura de hoy,Temperatura de hoy,Suhu hari ini,Temperatur idag,Температура сегодня,Température aujourd'hui,
max,Max,Max,Max.,Maks.,Máx.,Máx.,Máx.,Maks,Max,Макс.,Max,
min,Min,Min,Min.,Min.,Mín.,Mín.,Mín.,Min,Min,Мин.,Min,
hide,Hide,Hide,Verbergen,Ukryj,Ocultar,Ocultar,Ocultar,Sembunyikan,Dölj,Скрыть,Cacher,
see_more,See more,See more,Mehr anzeigen,Zobacz więcej,Ver mais,Ver más,Ver más,Lihat lainnya,Se mer,Подробнее,Afficher plus,
next_day,Next 24 hours,Next 24 hours,In den nächsten %@ Stunden,Najbliższe %@ godziny,Próximas %@ horas,Próximas %@ horas,Próximas %@ horas,24 jam ke depan,Nästa 24 timmar,Следующие 24 часа,Prochaines 24 heures,
charts_now,now,now,jetzt,teraz,agora,ahora,ahora,sekarang,nu,сейчас,maintenant,
max_temp_marker,H:%1$d°,H:%1$d°,H: %@°,Maks.:%@°,Máx.: %@°,A:%@°,Máx.:%@°,H:%1$d°,H:%1$d°,Макс:%1$d°,H :%1$d°,
min_temp_marker,L:%1$d°,L:%1$d°,T: %@°,Min.:%@°,Mín.: %@°,B:%@°,Mín.:%@°,L:%1$d°,L:%1$d°,Мин:%1$d°,L :%1$d°,
temp_marker_title,Actual %1$d° at %2$s,Actual %1$d° at %2$s,Aktuell %@°,Faktyczna %@°,Real %@°,Actual %@°,%@° real,Aktual %1$d° pada %2$s,Faktisk %1$d° %2$s,Фактическая %1$d° в %2$s,Réelle %1$d° à %2$s,
temp_marker_sub_title,Feels %1$d°,Feels %1$d°,Gefühlte %@°,Odczuwalna %@°,Sensação de %@°,Sensación de %@°,Sensación de %@°,Terasa %1$d°,Känns som %1$d°,По ощущениям %1$d°,Ressentie %1$d°,
feed_temperature_cell_actual_temperature_time_marker,at %@,at %@,um %@,o %@,às %@,a las %@,a las %@,pada %@,%@,в %@,à %@,
feed_precipitation_cell_summary_very_long,for more than an hour,for more than an hour,für mehr als eine Stunde,przez więcej niż godzinę,por mais de uma hora,por más de una hora,por más de una hora,selama lebih dari sejam,i mer än en timme,больше часа,pendant plus d'une heure,
precip_chart_heavy,HEAVY,HEAVY,SCHWER,CIĘŻKIE,FORTE,FUERTE,INTENSA,BERAT,TUNGT,СИЛЬНЫЙ,FORTE,
precip_chart_med,MED,MED,MITTEL,ŚREDNIE,MÉDIA,MED.,MEDIA,SEDANG,MÅTTLIGT,СРЕДНИЙ,MODÉRÉE,
precip_chart_light,LIGHT,LIGHT,LEICHT,LEKKIE,LEVE,LIGERO,LIGERA,RINGAN,LÄTT,СЛАБЫЙ,LÉGÈRE,
precip_charts_now,now,now,jetzt,teraz,agora,ahora,ahora,sekarang,nu,сейчас,maintenant,
settings_temp,Temperature,Temperature,Temperatur,Temperatura,Temperatura,Temperatura,Temperatura,Suhu,Temperatur,Температура,Température,
settings_temp_c,°C,,,,,,,°C,°C,°C,°C,
settings_temp_f,°F,,,,,,,°F,°F,°F,°F,
temp_degrees,%1$d°,,,,,,,%1$d°,%1$d°,%1$d°,%1$d°,
temp_feels_like,Feels like %1$d°,Feels like %@°,Fühlt sich an wie %@°,Odczuwalnie %@°,Sensação de %@°,Sensación de %@°,Sensación térmica de %@°,Terasa seperti %1$d°,Känns som %1$d°,Ощущается как %1$d°,Ressentie %1$d°,
blowing_dust,Blowing dust,Blowing dust,Staubwirbel,Podmuchy kurzu,Nuvem de poeira,Polvo en el aire,Se levanta polvo,Debu embus,Blåst med damm,Пыльный ветер/Пыль в воздухе,Poussiéreux,
clear,Clear,Clear,Wolkenlos,Czyste niebo,Claro,Despejado,Despejado,Cerah,Klart,Ясно,Clair,
cloudy,Cloudy,Cloudy,Bewölkt,Pochmurnie,Nublado,Nublado,Nublado,Berawan,Molnigt,Облачно,Nuageux,
foggy,Foggy,Foggy,Neblig,Mgliście,Nevoeiro,Nebuloso,Niebla,Berkabut,Dimma,Туман,Brumeux,
haze,Haze,Haze,Dunst,Lekka mgła,Neblina,Neblina,Bruma,Kabut Asap,Dis,Дымка,Brume,
mostly_clear,Mostly clear,Mostly clear,Meist wolkenlos,W większości przejrzyste niebo,Predominantemente limpo,Mayormente despejado,Mayormente despejado,Umumnya cerah,Mestadels klart,Преимущественно ясно,Plutôt dégagé,
mostly_cloudy,Mostly cloudy,Mostly cloudy,Meist bewölkt,W większości zachmurzone niebo,Predominantemente nublado,Mayormente nublado,Mayormente nublado,Umumnya berawan,Mestadels molnigt,Преимущественно облачно,Plutôt nuageux,
partly_cloudy,Partly cloudy,Partly cloudy,Teilweise bewölkt,Częściowo zachmurzone niebo,Parcialmente nublado,Parcialmente nublado,Parcialmente nublado,Sebagian berawan,Delvis molnigt,Переменная облачность,Partiellement nuageux,
smoky,Smoky,Smoky,Rauchschwaden,Dym,Esfumaçado,Humo,Con humo,Berasap,Rökigt,Смог,Enfumé,
breezy,Breezy,Breezy,Leichte Brise,Lekki wiatr,Fresco,Ventoso,Con brisa,Sejuk,Bris,Прохладно,Frais,
windy,Windy,Windy,Winding,Wietrznie,Com muito vento,Viento,Con viento,Berangin,Blåsigt,Ветрено,Venteux,
drizzle,Drizzle,Drizzle,Nieselregen,Mżawka,Garoa,Llovizna,Llovizna,Gerimis,Duggregn,Морось,Bruine,
isolated_thunderstorms,Isolated thunderstorms,Isolated thunderstorms,Örtliche Gewitter,Izolowane burze z piorunami,Tempestades isoladas,Tormentas aisladas,Tormentas aisladas,Badai petir terisolasi,Enstaka åskskurar,В отдельных районах грозы,Orages isolés,
sun_showers,Sun showers,Sun showers,Sonnenregen,Opady deszczu w słoneczną pogodę,Sol com chuva,Lluvias solares,Chaparrón con sol,Hujan panas,Solregn,Солнечный дождь/Солнечный ливень/Дожль при ясной погоде,Douches solaires,
scattered_thunderstorms,Scattered thunderstorms,Scattered thunderstorms,Vereinzelte Gewitter,Rozproszone burze z piorunami,Trovoadas esparsas,Tormentas dispersas,Tormentas dispersas,Badai petir terpencar,Spridda åskskurar,Местами грозы,Orages dispersés,
strong_storms,Strong storms,Strong storms,Heftige Unwetter,Silne burze,Tempestades fortes,Fuertes tormentas,Fuertes tormentas,Badai kuat,Kraftiga stormar,Сильные грозы,Fortes tempêtes,
thunderstorms,Thunderstorms,Thunderstorms,Gewitter,Burze z piorunami,Temporais,Tormentas eléctricas,Tormentas,Badai petir,Åskväder,Грозы,Orages,
frigid,Frigid,Frigid,Eisig,Bardzo zimno,Frio,Gélido,Glacial,Sangat Dingin,Isande,Мороз,Glacial,
hail,Hail,Hail,Hagel,Grad,Granizo,Granizo,Granizo,Hujan Es,Hagel,Град,Grêle,
hot,Hot,Hot,Heiß,Gorąco,Quente,Caliente,Caluroso,Panas,Varmt,Жарко,Chaud,
flurries,Flurries,Flurries,Böen,Podmuchy deszczu lub śniegu,Brisas,Ráfagas,Ráfagas,Salju mendadak,Snöbyar,Снегопад,Flocons,
sleet,Sleet,Sleet,Graupel,Deszcz ze śniegiem,Granizo,Aguanieve,Aguanieve,Hujan es,Snöslask,Ледяной дождь,Neige fondue,
sun_flurries,Sun flurries,Sun flurries,Vereinzelt Sonne,Opady śniegu w słoneczną pogodę,Rajadas de sol,Ráfagas de sol,Ráfagas de sol,Salju panas mendadak,Snöbyar med solsken,Солнечная метель/Снег при ясной погоде,Averses de soleil,
wintry_mix,Wintry mix,Wintry mix,Winterwetter,Mieszane opady zimowe,Água-neve,Mezcla invernal,Mezcla invernal,Campuran dingin,Vinterblandning,Снег с дождем,Mélange hivernal,
blizzard,Blizzard,Blizzard,Schneesturm,Zamieć śnieżna,Nevasca,Tormenta de nieve,Tormenta de nieve,Badai salju,Snöstorm,Снежная буря,Tempête de neige,
